Model,Accuracy,Precision (W),Recall (W),F1 (W),Cohen's Kappa,MCC,Composite Score
Gaussian Naive Bayes,0.9955,0.9958,0.9955,0.9954,0.9952,0.9953,0.9955
Random Forest,0.9932,0.9937,0.9932,0.9932,0.9928,0.9929,0.9932
Bagging Classifier,0.9909,0.9912,0.9909,0.9909,0.9905,0.9905,0.9908
Decision Tree,0.9864,0.9868,0.9864,0.9863,0.9857,0.9857,0.9863
Gradient Boosting,0.9818,0.9843,0.9818,0.9819,0.9809,0.981,0.9821
SVM (SVC),0.9682,0.9715,0.9682,0.968,0.9666,0.9668,0.9684
Logistic Regression,0.9636,0.9644,0.9636,0.9635,0.9618,0.9619,0.9633
K-Nearest Neighbors,0.9591,0.9654,0.9591,0.959,0.9571,0.9574,0.9599
Extra Trees,0.8886,0.8917,0.8886,0.8868,0.8832,0.8835,0.8876
AdaBoost,0.0955,0.0514,0.0955,0.0575,0.0712,0.1509,0.081
